Date,AQI
04-01-2017,91
05-01-2017,85
06-01-2017,88
07-01-2017,106
08-01-2017,95
09-01-2017,87
10-01-2017,130
11-01-2017,132
12-01-2017,110
13-01-2017,91
14-01-2017,78
15-01-2017,71
16-01-2017,66
17-01-2017,94
18-01-2017,117
19-01-2017,87
20-01-2017,85
21-01-2017,98
22-01-2017,98
23-01-2017,111
24-01-2017,100
25-01-2017,168
26-01-2017,182
27-01-2017,174
28-01-2017,210
29-01-2017,214
30-01-2017,230
31-01-2017,97
01-02-2017,101
02-02-2017,94
03-02-2017,207
04-02-2017,270
05-02-2017,269
06-02-2017,273
07-02-2017,238
08-02-2017,200
09-02-2017,69
10-02-2017,77
11-02-2017,109
12-02-2017,80
13-02-2017,59
14-02-2017,71
15-02-2017,83
16-02-2017,83
17-02-2017,95
18-02-2017,96
19-02-2017,92
20-02-2017,90
21-02-2017,104
22-02-2017,106
23-02-2017,99
24-02-2017,83
25-02-2017,75
26-02-2017,73
27-02-2017,70
28-02-2017,71
01-03-2017,71
02-03-2017,75
03-03-2017,104
04-03-2017,57
05-03-2017,59
06-03-2017,54
07-03-2017,59
08-03-2017,102
09-03-2017,72
10-03-2017,66
11-03-2017,56
12-03-2017,66
13-03-2017,55
14-03-2017,69
15-03-2017,44
16-03-2017,54
17-03-2017,98
18-03-2017,99
19-03-2017,95
20-03-2017,87
21-03-2017,83
22-03-2017,74
23-03-2017,89
24-03-2017,140
25-03-2017,104
26-03-2017,99
27-03-2017,90
28-03-2017,82
29-03-2017,112
30-03-2017,90
31-03-2017,112
01-04-2017,124
02-04-2017,113
03-04-2017,117
04-04-2017,120
05-04-2017,94
06-04-2017,110
07-04-2017,94
08-04-2017,82
09-04-2017,75
10-04-2017,99
11-04-2017,99
12-04-2017,78
13-04-2017,108
14-04-2017,107
15-04-2017,106
16-04-2017,105
17-04-2017,86
18-04-2017,77
19-04-2017,92
20-04-2017,81
21-04-2017,75
22-04-2017,64
23-04-2017,50
24-04-2017,59
25-04-2017,66
26-04-2017,92
27-04-2017,87
28-04-2017,96
29-04-2017,139
30-04-2017,65
01-05-2017,77
02-05-2017,60
03-05-2017,84
04-05-2017,94
05-05-2017,80
06-05-2017,89
07-05-2017,98
08-05-2017,82
09-05-2017,69
10-05-2017,41
11-05-2017,53
12-05-2017,68
13-05-2017,156
14-05-2017,101
15-05-2017,52
16-05-2017,56
17-05-2017,67
18-05-2017,70
19-05-2017,64
20-05-2017,50
21-05-2017,59
22-05-2017,44
23-05-2017,58
24-05-2017,62
25-05-2017,57
26-05-2017,66
27-05-2017,47
28-05-2017,41
29-05-2017,43
30-05-2017,46
31-05-2017,42
01-06-2017,54
02-06-2017,52
03-06-2017,42
04-06-2017,28
05-06-2017,29
06-06-2017,54
07-06-2017,47
08-06-2017,51
09-06-2017,55
10-06-2017,54
11-06-2017,51
12-06-2017,45
13-06-2017,44
14-06-2017,59
15-06-2017,76
16-06-2017,65
17-06-2017,60
18-06-2017,57
19-06-2017,50
20-06-2017,53
21-06-2017,70
22-06-2017,60
23-06-2017,54
24-06-2017,60
25-06-2017,71
26-06-2017,138
27-06-2017,78
28-06-2017,82
29-06-2017,76
30-06-2017,76
01-07-2017,92
02-07-2017,160
03-07-2017,92
04-07-2017,85
05-07-2017,93
06-07-2017,87
08-07-2017,108
09-07-2017,112
10-07-2017,102
11-07-2017,78
12-07-2017,67
13-07-2017,74
14-07-2017,72
15-07-2017,82
16-07-2017,61
17-07-2017,68
18-07-2017,68
19-07-2017,60
20-07-2017,61
21-07-2017,111
22-07-2017,132
23-07-2017,107
24-07-2017,109
25-07-2017,164
26-07-2017,85
27-07-2017,83
28-07-2017,122
29-07-2017,119
30-07-2017,94
31-07-2017,89
01-08-2017,136
02-08-2017,130
03-08-2017,160
04-08-2017,55
05-08-2017,106
06-08-2017,127
07-08-2017,176
08-08-2017,143
09-08-2017,74
10-08-2017,50
11-08-2017,56
12-08-2017,50
13-08-2017,67
14-08-2017,82
15-08-2017,70
16-08-2017,65
17-08-2017,70
18-08-2017,64
19-08-2017,57
20-08-2017,63
21-08-2017,48
22-08-2017,63
23-08-2017,62
24-08-2017,68
25-08-2017,172
26-08-2017,91
27-08-2017,39
28-08-2017,47
29-08-2017,57
30-08-2017,56
31-08-2017,69
01-09-2017,200
02-09-2017,135
03-09-2017,107
04-09-2017,74
05-09-2017,79
06-09-2017,101
07-09-2017,60
08-09-2017,75
09-09-2017,114
10-09-2017,57
11-09-2017,68
12-09-2017,68
13-09-2017,59
14-09-2017,63
15-09-2017,52
16-09-2017,49
17-09-2017,40
18-09-2017,43
19-09-2017,44
20-09-2017,52
21-09-2017,51
22-09-2017,51
23-09-2017,76
24-09-2017,76
25-09-2017,57
26-09-2017,65
27-09-2017,83
28-09-2017,56
29-09-2017,58
30-09-2017,61
01-10-2017,66
02-10-2017,69
03-10-2017,62
04-10-2017,125
05-10-2017,126
06-10-2017,80
07-10-2017,70
08-10-2017,104
09-10-2017,83
10-10-2017,130
11-10-2017,79
12-10-2017,71
13-10-2017,61
14-10-2017,67
15-10-2017,73
16-10-2017,58
17-10-2017,64
18-10-2017,98
19-10-2017,98
20-10-2017,177
21-10-2017,129
22-10-2017,79
23-10-2017,80
24-10-2017,94
25-10-2017,96
26-10-2017,75
27-10-2017,66
28-10-2017,80
29-10-2017,98
30-10-2017,102
31-10-2017,120
01-11-2017,141
02-11-2017,120
03-11-2017,159
04-11-2017,125
05-11-2017,59
06-11-2017,49
07-11-2017,68
08-11-2017,54
09-11-2017,70
10-11-2017,75
11-11-2017,77
12-11-2017,69
13-11-2017,65
14-11-2017,68
15-11-2017,66
16-11-2017,76
17-11-2017,81
18-11-2017,64
19-11-2017,68
20-11-2017,62
21-11-2017,60
22-11-2017,65
23-11-2017,87
24-11-2017,82
25-11-2017,72
26-11-2017,69
27-11-2017,58
28-11-2017,58
29-11-2017,82
30-11-2017,68
01-12-2017,53
02-12-2017,26
03-12-2017,54
04-12-2017,68
05-12-2017,63
06-12-2017,83
07-12-2017,96
08-12-2017,120
09-12-2017,148
10-12-2017,133
11-12-2017,143
12-12-2017,86
13-12-2017,75
14-12-2017,86
15-12-2017,122
16-12-2017,119
17-12-2017,100
18-12-2017,108
19-12-2017,112
20-12-2017,110
21-12-2017,131
22-12-2017,93
23-12-2017,91
24-12-2017,70
25-12-2017,91
26-12-2017,174
27-12-2017,99
28-12-2017,109
29-12-2017,85
30-12-2017,77
31-12-2017,72
01-01-2018,73
02-01-2018,86
03-01-2018,84
04-01-2018,86
05-01-2018,95
06-01-2018,102
07-01-2018,104
08-01-2018,93
09-01-2018,84
10-01-2018,75
11-01-2018,76
12-01-2018,115
13-01-2018,101
14-01-2018,118
15-01-2018,98
16-01-2018,92
17-01-2018,98
18-01-2018,100
19-01-2018,104
20-01-2018,122
21-01-2018,103
22-01-2018,96
23-01-2018,102
24-01-2018,104
25-01-2018,101
26-01-2018,98
27-01-2018,104
28-01-2018,109
29-01-2018,94
30-01-2018,99
31-01-2018,109
01-02-2018,94
02-02-2018,118
03-02-2018,88
04-02-2018,87
05-02-2018,81
06-02-2018,85
07-02-2018,79
08-02-2018,80
09-02-2018,95
10-02-2018,83
11-02-2018,76
12-02-2018,74
13-02-2018,78
14-02-2018,71
15-02-2018,71
16-02-2018,70
17-02-2018,77
18-02-2018,83
19-02-2018,82
20-02-2018,81
21-02-2018,80
22-02-2018,82
23-02-2018,83
24-02-2018,81
25-02-2018,69
26-02-2018,68
27-02-2018,71
28-02-2018,81
01-03-2018,83
02-03-2018,87
03-03-2018,92
04-03-2018,84
05-03-2018,86
06-03-2018,87
07-03-2018,90
08-03-2018,99
09-03-2018,104
10-03-2018,109
11-03-2018,106
12-03-2018,92
13-03-2018,76
14-03-2018,75
15-03-2018,77
16-03-2018,71
17-03-2018,74
18-03-2018,53
19-03-2018,61
20-03-2018,97
21-03-2018,124
22-03-2018,135
23-03-2018,127
24-03-2018,100
25-03-2018,98
26-03-2018,100
27-03-2018,87
30-03-2018,118
